City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
609,Chokwe,MZ,-24.5333,32.9833,67.98,94,100,5.14,moderate rain
610,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,22.71,82,100,14.36,overcast clouds
611,Kalmeshwar,IN,21.2333,78.9,74.82,64,96,2.17,overcast clouds
612,Marialva,BR,-23.485,-51.7917,75.83,57,51,4.9,broken clouds
613,Yanam,IN,16.7333,82.2167,77.4,95,95,4.05,overcast clouds
614,Serrinha,BR,-11.6642,-39.0075,72.86,84,23,8.23,few clouds
615,Movila,RO,44.55,27.7,44.51,83,0,7.45,clear sky
616,Besancon,FR,47.2488,6.0182,45.77,100,100,5.48,overcast clouds
617,Hereford,GB,52.0568,-2.7148,39.99,88,6,7.47,clear sky
618,Gusau,NG,12.1628,6.6614,74.95,22,2,7.49,clear sky
619,Le Port,RE,-20.9373,55.2919,73.4,88,22,0.92,light rain
620,Santa Fe,AR,-31.6333,-60.7,80.01,46,0,5.01,light rain
621,Satao,PT,40.7418,-7.7329,45.07,91,0,0.81,clear sky
